Location_Name__c,Location_Region__c,Region__c,TimeZoneSidKey__c,Zone_Abbreviation__c,Zone_Name__c,Data_Migration_Control_Field__c,Timezone__c
Atlantic/South Georgia,Europe,EMEA,Atlantic/South_Georgia,,South Georgia Time,false,
America/St Johns,North America,AMER,America/St_Johns,NDT,Newfoundland Daylight Time,false,
Pacific/Kiritimati,Asia,APAC,Pacific/Kiritimati,LINT,Line Islands Time,false,
Asia/Baku,Asia,APAC,Asia/Baku,AZST,Azerbaijan Summer Time,false,
Pacific/Chatham,Asia,APAC,Pacific/Chatham,CHADT,Chatham Daylight Time,false,
Pacific/Auckland,Asia,APAC,Pacific/Auckland,NZDT,New Zealand Daylight Time,false,
Pacific/Enderbury,Asia,APAC,Pacific/Enderbury,PHOT,Phoenix Islands Time,false,
Pacific/Tongatapu,Asia,APAC,Pacific/Tongatapu,,Tonga Time,false,
Asia/Kamchatka,Asia,APAC,Asia/Kamchatka,MAGT,Magadan Time,false,
Pacific/Fiji,Asia,APAC,Pacific/Fiji,FJT,Fiji Time,false,
Pacific/Norfolk,Asia,APAC,Pacific/Norfolk,NFT,Norfolk Islands Time,false,
Pacific/Guadalcanal,Asia,APAC,Pacific/Guadalcanal,SBT,Solomon Islands Time,false,
Australia/Lord Howe,Asia,APAC,Australia/Lord_Howe,LHST,Lord Howe Standard Time,false,
Australia/Brisbane,Asia,APAC,Australia/Brisbane,AEST,Australian Eastern Standard Time,false,
Australia/Sydney,Asia,APAC,Australia/Sydney,AEST,Australian Eastern Standard Time,false,
Australia/Adelaide,Asia,APAC,Australia/Adelaide,ACST,Australian Central Standard Time,false,
Australia/Darwin,Asia,APAC,Australia/Darwin,ACST,Australian Central Standard Time,false,
Asia/Seoul,Asia,APAC,Asia/Seoul,KST,Korean Standard Time,false,
Asia/Tokyo,Asia,APAC,Asia/Tokyo,JST,Japan Standard Time,false,
Asia/Hong Kong,Asia,APAC,Asia/Hong_Kong,HKT,Hong Kong Time,false,
Asia/Kuala Lumpur,Asia,APAC,Asia/Kuala_Lumpur,MYT,Malaysia Time,false,
Asia/Manila,Asia,APAC,Asia/Manila,PHT,Philippine Time,false,
Asia/Shanghai,Asia,APAC,Asia/Shanghai,CST,China Standard Time,false,
Asia/Singapore,Asia,APAC,Asia/Singapore,SGT,Singapore Standard Time,false,
Asia/Taipei,Asia,APAC,Asia/Taipei,,Taipei Standard Time,false,
Australia/Perth,Asia,APAC,Australia/Perth,AWST,Australian Western Standard Time,false,
